var_num,mode,steps,numtraj,freq,attper,score_type,jaccard_result,jaccard_weighted_result
14,asynchronous,20,20,5,0.9119047619047619,MDL,0.35294117647058826,0.3142857142857143
14,asynchronous,20,20,5,0.9119047619047619,BDE,0.34285714285714286,0.3055555555555556
8,asynchronous,5,70,3,0.7595238095238095,MDL,0.40625,0.40625
8,asynchronous,5,70,3,0.7595238095238095,BDE,0.41935483870967744,0.41935483870967744
13,asynchronous,20,20,1,0.5714285714285714,MDL,0.19230769230769232,0.19230769230769232
13,asynchronous,20,20,1,0.5714285714285714,BDE,0.17307692307692307,0.17307692307692307
8,asynchronous,5,70,1,0.3738095238095238,MDL,0.3157894736842105,0.28205128205128205
8,asynchronous,5,70,1,0.3738095238095238,BDE,0.29411764705882354,0.29411764705882354
13,synchronous,5,70,5,0.7914285714285715,MDL,0.057692307692307696,0.057692307692307696
13,synchronous,5,70,5,0.7914285714285715,BDE,0.057692307692307696,0.057692307692307696
14,synchronous,5,20,3,0.65,MDL,0.14285714285714285,0.10344827586206896
14,synchronous,5,20,3,0.65,BDE,0.14285714285714285,0.10344827586206896
8,synchronous,5,20,1,0.74,MDL,0.29411764705882354,0.29411764705882354
8,synchronous,5,20,1,0.74,BDE,0.30303030303030304,0.30303030303030304
14,synchronous,20,20,5,0.945,MDL,0.16666666666666666,0.16666666666666666
14,synchronous,20,20,5,0.945,BDE,0.16666666666666666,0.16666666666666666
8,synchronous,5,20,3,0.81,MDL,0.2571428571428571,0.2571428571428571
8,synchronous,5,20,3,0.81,BDE,0.2727272727272727,0.2727272727272727
14,synchronous,5,20,5,0.78,MDL,0.14814814814814814,0.14814814814814814
14,synchronous,5,20,5,0.78,BDE,0.14814814814814814,0.14814814814814814
13,asynchronous,5,20,1,0.06666666666666667,MDL,0.0784313725490196,0.0784313725490196
13,asynchronous,5,20,1,0.06666666666666667,BDE,0.0784313725490196,0.0784313725490196
13,asynchronous,5,70,1,0.04047619047619048,MDL,0.0784313725490196,0.0784313725490196
13,asynchronous,5,70,1,0.04047619047619048,BDE,0.058823529411764705,0.058823529411764705
8,synchronous,20,20,1,0.935,MDL,0.2857142857142857,0.2857142857142857
8,synchronous,20,20,1,0.935,BDE,0.41935483870967744,0.41935483870967744
14,asynchronous,20,20,1,0.5214285714285715,MDL,0.3333333333333333,0.3333333333333333
14,asynchronous,20,20,1,0.5214285714285715,BDE,0.2777777777777778,0.2777777777777778
8,synchronous,5,70,1,0.7371428571428571,MDL,0.48484848484848486,0.48484848484848486
8,synchronous,5,70,1,0.7371428571428571,BDE,0.5,0.5
8,synchronous,20,20,5,0.9525,MDL,0.2571428571428571,0.2571428571428571
8,synchronous,20,20,5,0.9525,BDE,0.2571428571428571,0.2571428571428571
13,synchronous,20,20,3,0.92,MDL,0.08771929824561403,0.08771929824561403
13,synchronous,20,20,3,0.92,BDE,0.09259259259259259,0.09259259259259259
13,synchronous,20,20,1,0.8175,MDL,0.5609756097560976,0.5609756097560976
13,synchronous,20,20,1,0.8175,BDE,0.5365853658536586,0.5365853658536586
13,asynchronous,20,70,3,0.8312925170068027,MDL,0.2807017543859649,0.2807017543859649
13,asynchronous,20,70,3,0.8312925170068027,BDE,0.3157894736842105,0.3157894736842105
8,synchronous,20,70,1,0.9342857142857143,MDL,0.4411764705882353,0.4411764705882353
8,synchronous,20,70,1,0.9342857142857143,BDE,0.45454545454545453,0.45454545454545453
13,asynchronous,5,20,3,0.43333333333333335,MDL,0.1702127659574468,0.1702127659574468
13,asynchronous,5,20,3,0.43333333333333335,BDE,0.1702127659574468,0.1702127659574468
8,asynchronous,5,20,3,0.7833333333333333,MDL,0.3225806451612903,0.3225806451612903
8,asynchronous,5,20,3,0.7833333333333333,BDE,0.3225806451612903,0.3225806451612903
13,asynchronous,20,20,5,0.8857142857142857,MDL,0.28,0.28
13,asynchronous,20,20,5,0.8857142857142857,BDE,0.2777777777777778,0.2777777777777778
13,synchronous,5,20,5,0.79,MDL,0.0625,0.0625
13,synchronous,5,20,5,0.79,BDE,0.06382978723404255,0.06382978723404255
13,synchronous,5,70,3,0.6657142857142857,MDL,0.07017543859649122,0.07017543859649122
13,synchronous,5,70,3,0.6657142857142857,BDE,0.07407407407407407,0.07407407407407407
13,synchronous,20,70,3,0.9164285714285715,MDL,0.10344827586206896,0.10344827586206896
13,synchronous,20,70,3,0.9164285714285715,BDE,0.1206896551724138,0.1206896551724138
8,asynchronous,20,70,5,0.9503401360544218,MDL,0.34285714285714286,0.34285714285714286
8,asynchronous,20,70,5,0.9503401360544218,BDE,0.34285714285714286,0.34285714285714286
14,asynchronous,20,70,5,0.8979591836734694,MDL,0.2926829268292683,0.2619047619047619
14,asynchronous,20,70,5,0.8979591836734694,BDE,0.3170731707317073,0.2857142857142857
14,synchronous,5,70,3,0.6342857142857142,MDL,0.13157894736842105,0.075
14,synchronous,5,70,3,0.6342857142857142,BDE,0.15625,0.08823529411764706
13,synchronous,20,70,1,0.8128571428571428,MDL,0.7,0.7
13,synchronous,20,70,1,0.8128571428571428,BDE,0.7,0.7
14,asynchronous,5,70,1,0.30714285714285716,MDL,0.10810810810810811,0.10810810810810811
14,asynchronous,5,70,1,0.30714285714285716,BDE,0.05555555555555555,0.05555555555555555
14,synchronous,20,70,3,0.9085714285714286,MDL,0.14705882352941177,0.08333333333333333
14,synchronous,20,70,3,0.9085714285714286,BDE,0.15151515151515152,0.08571428571428572
8,synchronous,5,70,5,0.8028571428571428,MDL,0.46875,0.38235294117647056
8,synchronous,5,70,5,0.8028571428571428,BDE,0.40625,0.40625
14,asynchronous,5,20,5,0.7916666666666666,MDL,0.3076923076923077,0.3076923076923077
14,asynchronous,5,20,5,0.7916666666666666,BDE,0.28,0.28
13,asynchronous,5,20,5,0.6083333333333333,MDL,0.2857142857142857,0.2857142857142857
