mode,steps,numtraj,freq,attper,score_type,jaccard_result,jaccard_weighted_result
synchronous,5,20,1,0.74,MDL,0.29411764705882354,0.29411764705882354
asynchronous,5,70,3,0.7595238095238095,MDL,0.40625,0.40625
asynchronous,5,70,3,0.7595238095238095,BDE,0.41935483870967744,0.41935483870967744
asynchronous,5,70,1,0.3738095238095238,MDL,0.3157894736842105,0.28205128205128205
synchronous,5,20,1,0.74,BDE,0.30303030303030304,0.30303030303030304
asynchronous,5,70,1,0.3738095238095238,BDE,0.29411764705882354,0.29411764705882354
synchronous,5,20,3,0.81,MDL,0.2571428571428571,0.2571428571428571
synchronous,5,20,3,0.81,BDE,0.2727272727272727,0.2727272727272727
synchronous,20,20,1,0.935,MDL,0.2857142857142857,0.2857142857142857
synchronous,20,20,1,0.935,BDE,0.41935483870967744,0.41935483870967744
synchronous,20,20,5,0.9525,MDL,0.2571428571428571,0.2571428571428571
synchronous,5,70,1,0.7371428571428571,MDL,0.48484848484848486,0.48484848484848486
synchronous,5,70,1,0.7371428571428571,BDE,0.5,0.5
synchronous,20,20,5,0.9525,BDE,0.2571428571428571,0.2571428571428571
asynchronous,5,20,3,0.7833333333333333,MDL,0.3225806451612903,0.3225806451612903
synchronous,20,70,1,0.9342857142857143,MDL,0.4411764705882353,0.4411764705882353
synchronous,20,70,1,0.9342857142857143,BDE,0.45454545454545453,0.45454545454545453
asynchronous,5,20,3,0.7833333333333333,BDE,0.3225806451612903,0.3225806451612903
asynchronous,20,70,5,0.9503401360544218,MDL,0.34285714285714286,0.34285714285714286
asynchronous,20,70,5,0.9503401360544218,BDE,0.34285714285714286,0.34285714285714286
synchronous,5,70,5,0.8028571428571428,MDL,0.46875,0.38235294117647056
synchronous,5,70,5,0.8028571428571428,BDE,0.40625,0.40625
asynchronous,5,20,5,0.8333333333333334,MDL,0.3225806451612903,0.3225806451612903
asynchronous,5,20,5,0.8333333333333334,BDE,0.3225806451612903,0.3225806451612903
asynchronous,5,70,5,0.8214285714285714,MDL,0.375,0.375
asynchronous,5,70,5,0.8214285714285714,BDE,0.375,0.375
synchronous,20,20,3,0.9525,MDL,0.2571428571428571,0.2571428571428571
synchronous,20,20,3,0.9525,BDE,0.2571428571428571,0.2571428571428571
synchronous,20,70,5,0.9507142857142857,MDL,0.38235294117647056,0.38235294117647056
synchronous,20,70,5,0.9507142857142857,BDE,0.42424242424242425,0.42424242424242425
asynchronous,20,70,3,0.9258503401360544,MDL,0.47058823529411764,0.47058823529411764
synchronous,5,70,3,0.8028571428571428,MDL,0.46875,0.38235294117647056
synchronous,20,70,3,0.9507142857142857,MDL,0.38235294117647056,0.38235294117647056
asynchronous,20,70,3,0.9258503401360544,BDE,0.48484848484848486,0.48484848484848486
asynchronous,5,20,1,0.43333333333333335,MDL,0.2727272727272727,0.2727272727272727
synchronous,20,70,3,0.9507142857142857,BDE,0.42424242424242425,0.42424242424242425
asynchronous,20,20,1,0.830952380952381,MDL,0.3055555555555556,0.3055555555555556
asynchronous,20,20,1,0.830952380952381,BDE,0.2777777777777778,0.2777777777777778
asynchronous,20,20,3,0.9380952380952381,MDL,0.375,0.375
synchronous,5,70,3,0.8028571428571428,BDE,0.40625,0.40625
asynchronous,5,20,1,0.43333333333333335,BDE,0.2727272727272727,0.2727272727272727
synchronous,5,20,5,0.81,MDL,0.2571428571428571,0.2571428571428571
asynchronous,20,70,1,0.8360544217687075,MDL,0.47058823529411764,0.47058823529411764
asynchronous,20,70,1,0.8360544217687075,BDE,0.47058823529411764,0.47058823529411764
synchronous,5,20,5,0.81,BDE,0.2727272727272727,0.2727272727272727
asynchronous,20,20,5,0.95,MDL,0.375,0.375
asynchronous,20,20,3,0.9380952380952381,BDE,0.375,0.375
asynchronous,20,20,5,0.95,BDE,0.3235294117647059,0.3235294117647059
