mode,steps,numtraj,freq,attper,score_type,jaccard_result,jaccard_weighted_result
asynchronous,20,100,1,0.5914285714285714,MDL,0.2765957446808511,0.18181818181818182
asynchronous,20,100,1,0.5914285714285714,BDE,0.26666666666666666,0.16981132075471697
asynchronous,20,100,3,0.8461904761904762,MDL,0.22916666666666666,0.14285714285714285
asynchronous,20,100,3,0.8461904761904762,BDE,0.22916666666666666,0.14285714285714285
asynchronous,20,100,5,0.9061904761904762,MDL,0.23404255319148937,0.16666666666666666
asynchronous,20,100,5,0.9061904761904762,BDE,0.23404255319148937,0.16666666666666666
asynchronous,20,20,1,0.5761904761904761,MDL,0.13636363636363635,0.057692307692307696
asynchronous,20,20,1,0.5761904761904761,BDE,0.13636363636363635,0.057692307692307696
asynchronous,20,20,3,0.8761904761904762,MDL,0.16326530612244897,0.08771929824561403
asynchronous,20,20,3,0.8761904761904762,BDE,0.1836734693877551,0.10526315789473684
asynchronous,20,20,5,0.8738095238095238,MDL,0.23809523809523808,0.1875
asynchronous,20,20,5,0.8738095238095238,BDE,0.23809523809523808,0.1875
asynchronous,20,50,1,0.599047619047619,MDL,0.26666666666666666,0.14814814814814814
asynchronous,20,50,1,0.599047619047619,BDE,0.24444444444444444,0.1509433962264151
asynchronous,20,50,3,0.8514285714285714,MDL,0.23404255319148937,0.14545454545454545
asynchronous,20,50,3,0.8514285714285714,BDE,0.23404255319148937,0.14545454545454545
asynchronous,20,50,5,0.9038095238095238,MDL,0.21739130434782608,0.17307692307692307
asynchronous,20,50,5,0.9038095238095238,BDE,0.20408163265306123,0.16363636363636364
asynchronous,50,100,1,0.8447058823529412,MDL,0.28888888888888886,0.18867924528301888
asynchronous,50,100,1,0.8447058823529412,BDE,0.28888888888888886,0.18867924528301888
asynchronous,50,100,3,0.9394117647058824,MDL,0.22916666666666666,0.14285714285714285
asynchronous,50,100,3,0.9394117647058824,BDE,0.22916666666666666,0.14285714285714285
asynchronous,50,100,5,0.9598039215686275,MDL,0.16,0.125
asynchronous,50,100,5,0.9598039215686275,BDE,0.16,0.125
asynchronous,50,20,1,0.8245098039215686,MDL,0.24444444444444444,0.1509433962264151
asynchronous,50,20,1,0.8245098039215686,BDE,0.24444444444444444,0.1509433962264151
asynchronous,50,20,3,0.946078431372549,MDL,0.1836734693877551,0.125
asynchronous,50,20,3,0.946078431372549,BDE,0.1836734693877551,0.125
asynchronous,50,20,5,0.9696078431372549,MDL,0.1875,0.14814814814814814
asynchronous,50,20,5,0.9696078431372549,BDE,0.1956521739130435,0.15384615384615385
asynchronous,50,50,1,0.8466666666666667,MDL,0.26666666666666666,0.14814814814814814
asynchronous,50,50,1,0.8466666666666667,BDE,0.26666666666666666,0.14814814814814814
asynchronous,50,50,3,0.9407843137254902,MDL,0.22916666666666666,0.14285714285714285
asynchronous,50,50,3,0.9407843137254902,BDE,0.22916666666666666,0.14285714285714285
asynchronous,50,50,5,0.9647058823529412,MDL,0.14,0.10714285714285714
asynchronous,50,50,5,0.9647058823529412,BDE,0.14,0.10714285714285714
asynchronous,5,100,1,0.13,MDL,0.045454545454545456,0.0
asynchronous,5,100,1,0.13,BDE,0.045454545454545456,0.0
asynchronous,5,100,3,0.5266666666666666,MDL,0.16326530612244897,0.08771929824561403
asynchronous,5,100,3,0.5266666666666666,BDE,0.16,0.08620689655172414
asynchronous,5,100,5,0.645,MDL,0.23255813953488372,0.16
asynchronous,5,100,5,0.645,BDE,0.21428571428571427,0.14285714285714285
asynchronous,5,20,1,0.175,MDL,0.046511627906976744,0.0
asynchronous,5,20,1,0.175,BDE,0.045454545454545456,0.0
