var_num,mode,steps,numtraj,freq,attper,score_type,jaccard_result,jaccard_weighted_result
5,synchronous,50,100,5,0.9758823529411764,MDL,0.2,0.2
5,synchronous,50,100,5,0.9758823529411764,BDE,0.1,0.1
5,synchronous,20,20,1,0.88,MDL,0.75,0.75
5,synchronous,20,20,1,0.88,BDE,0.5,0.5
10,synchronous,5,20,1,0.05,MDL,0.09523809523809523,0.038461538461538464
10,synchronous,5,20,1,0.05,BDE,0.1,0.04
16,synchronous,5,50,5,0.8,MDL,0.08333333333333333,0.07142857142857142
16,synchronous,5,50,5,0.8,BDE,0.08333333333333333,0.07142857142857142
7,synchronous,20,50,5,0.954,MDL,0.6,0.38461538461538464
7,synchronous,20,50,5,0.954,BDE,0.5454545454545454,0.35714285714285715
13,synchronous,50,20,1,0.4294117647058823,MDL,0.26666666666666666,0.24242424242424243
13,synchronous,50,20,1,0.4294117647058823,BDE,0.26666666666666666,0.24242424242424243
7,synchronous,5,20,1,0.5583333333333333,MDL,0.07142857142857142,0.0625
7,synchronous,5,20,1,0.5583333333333333,BDE,0.07142857142857142,0.0625
5,synchronous,20,100,1,0.8080952380952381,MDL,0.5384615384615384,0.25
5,synchronous,20,100,1,0.8080952380952381,BDE,0.5384615384615384,0.25
5,synchronous,50,50,3,0.967843137254902,MDL,0.3,0.3
5,synchronous,50,50,3,0.967843137254902,BDE,0.3,0.3
5,synchronous,5,100,1,0.462,MDL,0.6153846153846154,0.5
5,synchronous,5,100,1,0.462,BDE,0.6666666666666666,0.5384615384615384
13,synchronous,5,50,5,0.8,MDL,0.041666666666666664,0.037037037037037035
13,synchronous,5,50,5,0.8,BDE,0.041666666666666664,0.037037037037037035
10,synchronous,80,100,5,0.9835,MDL,0.0,0.0
10,synchronous,80,100,5,0.9835,BDE,0.0,0.0
13,synchronous,20,50,5,0.95,MDL,0.030303030303030304,0.027777777777777776
13,synchronous,20,50,5,0.95,BDE,0.030303030303030304,0.027777777777777776
13,synchronous,5,20,5,0.19166666666666668,MDL,0.10526315789473684,0.09090909090909091
13,synchronous,5,20,5,0.19166666666666668,BDE,0.10526315789473684,0.09090909090909091
10,synchronous,50,20,5,0.973,MDL,0.0,0.0
10,synchronous,50,20,5,0.973,BDE,0.0,0.0
5,synchronous,80,20,3,0.988125,MDL,0.0,0.0
5,synchronous,80,20,3,0.988125,BDE,0.0,0.0
5,synchronous,20,50,3,0.9304761904761905,MDL,0.2,0.2
5,synchronous,20,50,3,0.9304761904761905,BDE,0.2,0.2
16,synchronous,50,20,3,0.969,MDL,0.07692307692307693,0.03225806451612903
16,synchronous,50,20,3,0.969,BDE,0.07692307692307693,0.03225806451612903
16,synchronous,5,20,3,0.275,MDL,0.06666666666666667,0.02857142857142857
16,synchronous,5,20,3,0.275,BDE,0.06666666666666667,0.02857142857142857
7,synchronous,20,100,5,0.9525,MDL,0.35294117647058826,0.3157894736842105
7,synchronous,20,100,5,0.9525,BDE,0.46153846153846156,0.4
16,synchronous,80,50,5,0.9612345679012345,MDL,0.125,0.11363636363636363
16,synchronous,80,50,5,0.9612345679012345,BDE,0.125,0.11363636363636363
7,synchronous,20,20,3,0.9525,MDL,0.5454545454545454,0.35714285714285715
7,synchronous,20,20,3,0.9525,BDE,0.5454545454545454,0.35714285714285715
13,synchronous,50,20,3,0.8235294117647058,MDL,0.22580645161290322,0.20588235294117646
13,synchronous,50,20,3,0.8235294117647058,BDE,0.3225806451612903,0.2571428571428571
5,synchronous,50,20,1,0.948,MDL,0.625,0.625
5,synchronous,50,20,1,0.948,BDE,0.625,0.625
13,synchronous,20,100,5,0.951,MDL,0.030303030303030304,0.027777777777777776
13,synchronous,20,100,5,0.951,BDE,0.030303030303030304,0.027777777777777776
5,synchronous,50,50,5,0.9804,MDL,0.0,0.0
5,synchronous,50,50,5,0.9804,BDE,0.0,0.0
13,synchronous,5,100,3,0.09,MDL,0.1875,0.17142857142857143
13,synchronous,5,100,3,0.09,BDE,0.21212121212121213,0.19444444444444445
5,synchronous,20,20,3,0.94,MDL,0.0,0.0
5,synchronous,20,20,3,0.94,BDE,0.0,0.0
13,synchronous,80,50,5,0.98775,MDL,0.030303030303030304,0.027777777777777776
13,synchronous,80,50,5,0.98775,BDE,0.030303030303030304,0.027777777777777776
7,synchronous,20,50,3,0.920952380952381,MDL,0.3333333333333333,0.29411764705882354
7,synchronous,20,50,3,0.920952380952381,BDE,0.26666666666666666,0.23529411764705882
7,synchronous,80,50,5,0.9875,MDL,0.6,0.38461538461538464
7,synchronous,80,50,5,0.9875,BDE,0.6,0.38461538461538464
7,synchronous,80,20,3,0.988125,MDL,0.5454545454545454,0.26666666666666666
7,synchronous,80,20,3,0.988125,BDE,0.5454545454545454,0.26666666666666666
13,synchronous,20,50,1,0.1619047619047619,MDL,0.3,0.2727272727272727
13,synchronous,20,50,1,0.1619047619047619,BDE,0.26666666666666666,0.24242424242424243
10,synchronous,80,50,1,0.94175,MDL,0.7142857142857143,0.5555555555555556
10,synchronous,80,50,1,0.94175,BDE,0.7142857142857143,0.5555555555555556
5,synchronous,5,50,3,0.744,MDL,0.08333333333333333,0.08333333333333333
5,synchronous,5,50,3,0.744,BDE,0.0,0.0
13,synchronous,50,50,3,0.7470588235294118,MDL,0.2571428571428571,0.20512820512820512
13,synchronous,50,50,3,0.7470588235294118,BDE,0.2571428571428571,0.20512820512820512
16,synchronous,20,20,5,0.8547619047619047,MDL,0.11764705882352941,0.07692307692307693
16,synchronous,20,20,5,0.8547619047619047,BDE,0.11764705882352941,0.07692307692307693
10,synchronous,80,50,5,0.971604938271605,MDL,0.2857142857142857,0.24
10,synchronous,80,50,5,0.971604938271605,BDE,0.2857142857142857,0.24
16,synchronous,5,50,3,0.676,MDL,0.06666666666666667,0.02857142857142857
16,synchronous,5,50,3,0.676,BDE,0.07142857142857142,0.030303030303030304
10,synchronous,20,50,5,0.926,MDL,0.0,0.0
10,synchronous,20,50,5,0.926,BDE,0.0,0.0
13,synchronous,20,100,5,0.6766666666666666,MDL,0.2727272727272727,0.25
13,synchronous,20,100,5,0.6766666666666666,BDE,0.2727272727272727,0.25
16,synchronous,5,50,1,0.344,MDL,0.3125,0.24324324324324326
16,synchronous,5,50,1,0.344,BDE,0.3333333333333333,0.2571428571428571
10,synchronous,50,100,3,0.9628,MDL,0.0,0.0
10,synchronous,50,100,3,0.9628,BDE,0.0,0.0
16,synchronous,5,50,5,0.52,MDL,0.2,0.1724137931034483
16,synchronous,5,50,5,0.52,BDE,0.21739130434782608,0.18518518518518517
5,synchronous,50,100,1,0.9266666666666666,MDL,0.5,0.2857142857142857
5,synchronous,50,100,1,0.9266666666666666,BDE,0.4166666666666667,0.3076923076923077
5,synchronous,20,100,3,0.9355,MDL,0.0,0.0
5,synchronous,20,100,3,0.9355,BDE,0.0,0.0
7,synchronous,20,100,3,0.951,MDL,0.375,0.2631578947368421
7,synchronous,20,100,3,0.951,BDE,0.5,0.3333333333333333
10,synchronous,80,20,1,0.8820987654320988,MDL,0.2857142857142857,0.19230769230769232
10,synchronous,80,20,1,0.8820987654320988,BDE,0.3181818181818182,0.2222222222222222
10,synchronous,80,100,3,0.9565432098765432,MDL,0.36363636363636365,0.3076923076923077
10,synchronous,80,100,3,0.9565432098765432,BDE,0.34782608695652173,0.2962962962962963
13,synchronous,20,20,3,0.95,MDL,0.07407407407407407,0.06666666666666667
13,synchronous,20,20,3,0.95,BDE,0.07407407407407407,0.06666666666666667
7,synchronous,80,50,5,0.9888888888888889,MDL,0.2,0.17647058823529413
7,synchronous,80,50,5,0.9888888888888889,BDE,0.14285714285714285,0.125
16,synchronous,5,20,1,0.29,MDL,0.25,0.18181818181818182
16,synchronous,5,20,1,0.29,BDE,0.3076923076923077,0.22580645161290322
7,synchronous,50,50,1,0.9696,MDL,1.0,0.6363636363636364
7,synchronous,50,50,1,0.9696,BDE,1.0,0.6363636363636364
16,synchronous,80,20,5,0.9875,MDL,0.08695652173913043,0.07407407407407407
16,synchronous,80,20,5,0.9875,BDE,0.08695652173913043,0.07407407407407407
16,synchronous,80,50,5,0.9875,MDL,0.08,0.06896551724137931
16,synchronous,80,50,5,0.9875,BDE,0.08,0.06896551724137931
10,synchronous,20,20,3,0.9075,MDL,0.0,0.0
10,synchronous,20,20,3,0.9075,BDE,0.0,0.0
