var_num,mode,steps,numtraj,freq,attper,score_type,jaccard_result,jaccard_weighted_result
5,synchronous,20,20,3,0.9333333333333333,MDL,0.3333333333333333,0.25
5,synchronous,20,20,3,0.9333333333333333,BDE,0.25,0.18181818181818182
10,synchronous,50,20,1,0.7764705882352941,MDL,0.46153846153846156,0.3125
10,synchronous,50,20,1,0.7764705882352941,BDE,0.48,0.3225806451612903
7,synchronous,5,50,1,0.076,MDL,1.0,0.625
7,synchronous,5,50,1,0.076,BDE,1.0,0.625
5,synchronous,20,20,3,0.96,MDL,0.125,0.09090909090909091
5,synchronous,20,20,3,0.96,BDE,0.125,0.09090909090909091
10,synchronous,80,20,3,0.9506172839506173,MDL,0.44,0.2903225806451613
10,synchronous,80,20,3,0.9506172839506173,BDE,0.4583333333333333,0.3
7,synchronous,80,20,1,0.928125,MDL,0.8666666666666667,0.48
7,synchronous,80,20,1,0.928125,BDE,0.8,0.5
10,synchronous,5,50,5,0.5966666666666667,MDL,0.42857142857142855,0.36
10,synchronous,5,50,5,0.5966666666666667,BDE,0.3,0.25
13,synchronous,20,50,5,0.7285714285714285,MDL,0.20512820512820512,0.14285714285714285
13,synchronous,20,50,5,0.7285714285714285,BDE,0.20512820512820512,0.14285714285714285
7,synchronous,20,20,3,0.8375,MDL,0.25,0.1282051282051282
7,synchronous,20,20,3,0.8375,BDE,0.25,0.1282051282051282
5,synchronous,5,20,5,0.8416666666666667,MDL,0.125,0.09090909090909091
5,synchronous,5,20,5,0.8416666666666667,BDE,0.125,0.09090909090909091
7,synchronous,5,20,3,0.06666666666666667,MDL,0.25,0.16
7,synchronous,5,20,3,0.06666666666666667,BDE,0.125,0.08
13,synchronous,50,50,1,0.9152,MDL,0.5,0.3170731707317073
13,synchronous,50,50,1,0.9152,BDE,0.5,0.3170731707317073
5,synchronous,5,100,3,0.814,MDL,0.36363636363636365,0.2
5,synchronous,5,100,3,0.814,BDE,0.2222222222222222,0.16666666666666666
7,synchronous,5,20,1,0.04,MDL,0.8,0.5
7,synchronous,5,20,1,0.04,BDE,0.7333333333333333,0.4583333333333333
10,synchronous,80,100,3,0.9485185185185185,MDL,0.42857142857142855,0.3333333333333333
