mode,steps,numtraj,freq,attper,score_type,jaccard_result,jaccard_weighted_result
synchronous,5,50,5,0.38333333333333336,MDL,0.12121212121212122,0.0975609756097561
synchronous,5,20,1,0.05,MDL,0.0,0.0
synchronous,5,50,5,0.38333333333333336,BDE,0.0967741935483871,0.07692307692307693
synchronous,5,20,1,0.05,BDE,0.0,0.0
synchronous,20,50,1,0.24761904761904763,MDL,0.2857142857142857,0.21568627450980393
synchronous,5,100,5,0.2683333333333333,MDL,0.2571428571428571,0.18181818181818182
synchronous,20,50,1,0.24761904761904763,BDE,0.2682926829268293,0.2
synchronous,5,100,5,0.2683333333333333,BDE,0.19444444444444445,0.13333333333333333
synchronous,50,50,3,0.9572,MDL,0.18604651162790697,0.05357142857142857
synchronous,5,20,5,0.73,MDL,0.1111111111111111,0.02702702702702703
synchronous,50,50,3,0.9572,BDE,0.18181818181818182,0.05263157894736842
synchronous,80,20,1,0.7592592592592593,MDL,0.21951219512195122,0.13725490196078433
synchronous,5,20,5,0.73,BDE,0.1111111111111111,0.05555555555555555
synchronous,80,20,1,0.7592592592592593,BDE,0.1951219512195122,0.14
synchronous,50,50,1,0.9044,MDL,0.5625,0.38095238095238093
synchronous,50,50,1,0.9044,BDE,0.5625,0.38095238095238093
synchronous,20,100,3,0.8895,MDL,0.1956521739130435,0.10526315789473684
synchronous,20,100,3,0.8895,BDE,0.21739130434782608,0.12280701754385964
synchronous,5,20,1,0.33,MDL,0.43333333333333335,0.3076923076923077
synchronous,20,100,5,0.7223809523809523,MDL,0.2127659574468085,0.16071428571428573
synchronous,5,20,1,0.33,BDE,0.4,0.28205128205128205
synchronous,20,100,5,0.7223809523809523,BDE,0.2127659574468085,0.16071428571428573
synchronous,50,100,1,0.5433333333333333,MDL,0.32558139534883723,0.22641509433962265
synchronous,50,20,3,0.963,MDL,0.13953488372093023,0.03636363636363636
synchronous,80,50,3,0.976,MDL,0.23255813953488372,0.07017543859649122
synchronous,50,100,1,0.5433333333333333,BDE,0.3333333333333333,0.23076923076923078
synchronous,50,20,3,0.963,BDE,0.13636363636363635,0.03571428571428571
synchronous,80,20,3,0.9775,MDL,0.2682926829268293,0.09090909090909091
synchronous,80,50,3,0.976,BDE,0.23255813953488372,0.07017543859649122
synchronous,80,20,3,0.9775,BDE,0.21951219512195122,0.05454545454545454
synchronous,5,100,1,0.292,MDL,0.4864864864864865,0.3695652173913043
synchronous,5,100,1,0.292,BDE,0.5454545454545454,0.40476190476190477
synchronous,20,50,3,0.7247619047619047,MDL,0.24390243902439024,0.1568627450980392
synchronous,20,50,3,0.7247619047619047,BDE,0.2682926829268293,0.17647058823529413
synchronous,5,50,1,0.24,MDL,0.5,0.37209302325581395
synchronous,20,100,3,0.6361904761904762,MDL,0.2826086956521739,0.17543859649122806
synchronous,5,50,1,0.24,BDE,0.5294117647058824,0.3953488372093023
synchronous,5,100,5,0.738,MDL,0.25,0.1836734693877551
synchronous,20,100,3,0.6361904761904762,BDE,0.28888888888888886,0.17857142857142858
synchronous,5,100,5,0.738,BDE,0.24390243902439024,0.18
synchronous,50,100,5,0.902156862745098,MDL,0.2391304347826087,0.18181818181818182
synchronous,50,20,1,0.6911764705882353,MDL,0.19047619047619047,0.13725490196078433
synchronous,50,20,1,0.6911764705882353,BDE,0.19047619047619047,0.13725490196078433
synchronous,50,100,5,0.902156862745098,BDE,0.2391304347826087,0.18181818181818182
synchronous,5,20,3,0.15833333333333333,MDL,0.02857142857142857,0.023255813953488372
synchronous,50,20,1,0.901,MDL,0.53125,0.3902439024390244
synchronous,5,20,3,0.15833333333333333,BDE,0.030303030303030304,0.024390243902439025
synchronous,50,20,1,0.901,BDE,0.53125,0.3902439024390244
synchronous,80,100,5,0.983,MDL,0.2682926829268293,0.2
synchronous,80,100,5,0.983,BDE,0.2682926829268293,0.2
synchronous,20,50,1,0.707,MDL,0.5454545454545454,0.37209302325581395
synchronous,20,50,1,0.707,BDE,0.5625,0.38095238095238093
synchronous,80,100,3,0.973875,MDL,0.2558139534883721,0.10714285714285714
synchronous,80,100,3,0.973875,BDE,0.27906976744186046,0.10526315789473684
synchronous,20,20,1,0.775,MDL,0.5483870967741935,0.4
synchronous,80,50,1,0.6982716049382716,MDL,0.3333333333333333,0.20754716981132076
synchronous,20,20,1,0.775,BDE,0.5,0.36585365853658536
synchronous,20,50,5,0.741904761904762,MDL,0.24390243902439024,0.18
synchronous,20,50,5,0.741904761904762,BDE,0.23809523809523808,0.17647058823529413
synchronous,5,20,5,0.35,MDL,0.1,0.07894736842105263
synchronous,80,50,1,0.6982716049382716,BDE,0.3333333333333333,0.20754716981132076
synchronous,5,20,5,0.35,BDE,0.10714285714285714,0.08333333333333333
synchronous,50,20,5,0.97,MDL,0.3333333333333333,0.24444444444444444
synchronous,50,100,3,0.9582,MDL,0.24444444444444444,0.10344827586206896
synchronous,80,50,5,0.9397530864197531,MDL,0.25,0.18867924528301888
synchronous,50,20,5,0.97,BDE,0.34210526315789475,0.2553191489361702
synchronous,80,50,5,0.9397530864197531,BDE,0.25,0.18867924528301888
synchronous,50,100,3,0.9582,BDE,0.24444444444444444,0.12280701754385964
synchronous,50,50,1,0.6290196078431373,MDL,0.3333333333333333,0.20754716981132076
synchronous,50,50,1,0.6290196078431373,BDE,0.3333333333333333,0.20754716981132076
synchronous,20,100,5,0.929,MDL,0.2682926829268293,0.2
synchronous,20,100,1,0.7485,MDL,0.5454545454545454,0.40476190476190477
synchronous,20,100,5,0.929,BDE,0.2682926829268293,0.2
synchronous,20,100,1,0.7485,BDE,0.5625,0.4146341463414634
synchronous,50,100,3,0.8492156862745098,MDL,0.28888888888888886,0.13793103448275862
synchronous,50,100,3,0.8492156862745098,BDE,0.28888888888888886,0.15789473684210525
synchronous,5,100,3,0.16166666666666665,MDL,0.14634146341463414,0.12244897959183673
synchronous,20,20,1,0.28809523809523807,MDL,0.2,0.16666666666666666
synchronous,50,20,3,0.8313725490196079,MDL,0.16279069767441862,0.07407407407407407
synchronous,20,20,1,0.28809523809523807,BDE,0.1794871794871795,0.14893617021276595
synchronous,50,20,3,0.8313725490196079,BDE,0.20930232558139536,0.09090909090909091
synchronous,50,100,5,0.9706,MDL,0.325,0.24489795918367346
synchronous,5,100,3,0.16166666666666665,BDE,0.16666666666666666,0.14
synchronous,5,100,1,0.03666666666666667,MDL,0.0,0.0
synchronous,5,100,1,0.03666666666666667,BDE,0.0,0.0
synchronous,20,100,1,0.23,MDL,0.32558139534883723,0.25
synchronous,50,100,5,0.9706,BDE,0.2857142857142857,0.21568627450980393
synchronous,20,100,1,0.23,BDE,0.32558139534883723,0.25
synchronous,20,20,5,0.7785714285714286,MDL,0.15789473684210525,0.13043478260869565
synchronous,80,20,5,0.9438271604938272,MDL,0.175,0.14583333333333334
synchronous,20,20,5,0.7785714285714286,BDE,0.15384615384615385,0.1276595744680851
synchronous,80,20,5,0.9438271604938272,BDE,0.175,0.14583333333333334
synchronous,5,100,3,0.582,MDL,0.17391304347826086,0.08771929824561403
synchronous,5,100,3,0.582,BDE,0.1956521739130435,0.10526315789473684
synchronous,80,50,5,0.98075,MDL,0.2619047619047619,0.22
