mode,steps,numtraj,freq,attper,score_type,jaccard_result,jaccard_weighted_result
synchronous,5,20,1,0.58,MDL,0.6363636363636364,0.3888888888888889
synchronous,5,20,1,0.58,BDE,0.45454545454545453,0.2777777777777778
synchronous,5,50,1,0.632,MDL,0.9166666666666666,0.5789473684210527
synchronous,5,50,1,0.632,BDE,1.0,0.6111111111111112
synchronous,80,50,3,0.9859259259259259,MDL,0.5,0.3157894736842105
synchronous,20,50,5,0.9523809523809523,MDL,0.3076923076923077,0.2
synchronous,80,50,3,0.9859259259259259,BDE,0.5833333333333334,0.3684210526315789
synchronous,20,20,3,0.95,MDL,0.3333333333333333,0.21052631578947367
synchronous,20,50,5,0.9523809523809523,BDE,0.3076923076923077,0.2
synchronous,20,20,3,0.95,BDE,0.25,0.15789473684210525
synchronous,80,50,5,0.9869135802469136,MDL,0.3076923076923077,0.2
synchronous,80,50,5,0.9869135802469136,BDE,0.35714285714285715,0.23809523809523808
synchronous,50,100,1,0.9435294117647058,MDL,0.6428571428571429,0.42857142857142855
synchronous,80,20,5,0.987037037037037,MDL,0.3076923076923077,0.2
synchronous,50,100,1,0.9435294117647058,BDE,0.6428571428571429,0.42857142857142855
synchronous,80,50,1,0.9609876543209876,MDL,0.5,0.3333333333333333
synchronous,80,20,5,0.987037037037037,BDE,0.3076923076923077,0.2
synchronous,80,50,1,0.9609876543209876,BDE,0.5714285714285714,0.38095238095238093
synchronous,20,50,3,0.954,MDL,0.3076923076923077,0.2
synchronous,20,100,3,0.9495,MDL,0.42857142857142855,0.2857142857142857
synchronous,20,50,3,0.954,BDE,0.3076923076923077,0.2
synchronous,20,100,3,0.9495,BDE,0.42857142857142855,0.2857142857142857
synchronous,20,20,5,0.9523809523809523,MDL,0.21428571428571427,0.14285714285714285
synchronous,50,50,3,0.976078431372549,MDL,0.5,0.3157894736842105
synchronous,20,20,5,0.9523809523809523,BDE,0.21428571428571427,0.14285714285714285
synchronous,80,100,3,0.98725,MDL,0.4,0.2727272727272727
synchronous,50,50,3,0.976078431372549,BDE,0.5833333333333334,0.3684210526315789
synchronous,80,100,3,0.98725,BDE,0.4,0.2727272727272727
synchronous,50,100,3,0.9804,MDL,0.3125,0.21739130434782608
synchronous,50,100,3,0.9804,BDE,0.3333333333333333,0.22727272727272727
synchronous,50,20,3,0.9725490196078431,MDL,0.2857142857142857,0.19047619047619047
synchronous,50,20,3,0.9725490196078431,BDE,0.38461538461538464,0.25
synchronous,5,100,1,0.49833333333333335,MDL,0.5333333333333333,0.36363636363636365
synchronous,5,100,1,0.49833333333333335,BDE,0.5333333333333333,0.36363636363636365
synchronous,5,100,5,0.814,MDL,0.4,0.2727272727272727
synchronous,5,100,5,0.814,BDE,0.38461538461538464,0.25
synchronous,50,20,1,0.953921568627451,MDL,0.38461538461538464,0.25
synchronous,50,20,1,0.953921568627451,BDE,0.38461538461538464,0.25
synchronous,80,20,1,0.9740740740740741,MDL,0.3333333333333333,0.22727272727272727
synchronous,80,20,1,0.9740740740740741,BDE,0.3333333333333333,0.22727272727272727
synchronous,50,100,5,0.9796078431372549,MDL,0.3333333333333333,0.22727272727272727
synchronous,80,50,3,0.98675,MDL,0.4,0.2727272727272727
synchronous,80,100,1,0.9625925925925926,MDL,0.6428571428571429,0.42857142857142855
synchronous,50,100,5,0.9796078431372549,BDE,0.3333333333333333,0.22727272727272727
synchronous,80,50,3,0.98675,BDE,0.42857142857142855,0.2857142857142857
synchronous,80,100,1,0.9625925925925926,BDE,0.6428571428571429,0.42857142857142855
synchronous,5,20,3,0.81,MDL,0.08333333333333333,0.05263157894736842
synchronous,5,20,3,0.81,BDE,0.0,0.0
synchronous,50,20,1,0.96,MDL,0.6363636363636364,0.3888888888888889
synchronous,50,20,1,0.96,BDE,0.5454545454545454,0.3333333333333333
synchronous,20,50,1,0.901,MDL,0.9090909090909091,0.5555555555555556
synchronous,20,50,1,0.901,BDE,0.9090909090909091,0.5555555555555556
synchronous,80,100,5,0.988,MDL,0.3333333333333333,0.22727272727272727
synchronous,80,100,5,0.988,BDE,0.3333333333333333,0.22727272727272727
synchronous,5,20,5,0.825,MDL,0.23076923076923078,0.15
synchronous,5,20,5,0.825,BDE,0.15384615384615385,0.1
synchronous,80,50,5,0.9885,MDL,0.3076923076923077,0.2
synchronous,80,50,5,0.9885,BDE,0.35714285714285715,0.23809523809523808
synchronous,80,100,5,0.9876543209876543,MDL,0.3333333333333333,0.22727272727272727
synchronous,80,100,5,0.9876543209876543,BDE,0.3333333333333333,0.22727272727272727
synchronous,20,20,5,0.9525,MDL,0.21428571428571427,0.14285714285714285
synchronous,20,20,5,0.9525,BDE,0.15384615384615385,0.1
synchronous,5,20,1,0.6333333333333333,MDL,0.15384615384615385,0.1
synchronous,5,20,1,0.6333333333333333,BDE,0.15384615384615385,0.1
synchronous,5,50,5,0.8266666666666667,MDL,0.3076923076923077,0.2
synchronous,5,50,5,0.8266666666666667,BDE,0.3076923076923077,0.2
synchronous,80,100,3,0.984320987654321,MDL,0.5,0.3333333333333333
synchronous,80,100,3,0.984320987654321,BDE,0.5,0.3333333333333333
synchronous,50,100,1,0.9622,MDL,0.9090909090909091,0.5555555555555556
synchronous,50,100,1,0.9622,BDE,0.9090909090909091,0.5555555555555556
synchronous,50,100,3,0.976078431372549,MDL,0.5384615384615384,0.35
synchronous,50,100,3,0.976078431372549,BDE,0.5384615384615384,0.35
synchronous,5,100,1,0.622,MDL,0.9166666666666666,0.5789473684210527
synchronous,5,100,1,0.622,BDE,0.9166666666666666,0.5789473684210527
synchronous,20,50,3,0.9342857142857143,MDL,0.5,0.3157894736842105
synchronous,50,50,5,0.9808,MDL,0.3076923076923077,0.2
synchronous,20,50,3,0.9342857142857143,BDE,0.5,0.3157894736842105
synchronous,50,50,5,0.9808,BDE,0.3076923076923077,0.2
synchronous,5,100,3,0.7716666666666666,MDL,0.5,0.3157894736842105
synchronous,5,100,3,0.7716666666666666,BDE,0.5,0.3157894736842105
synchronous,50,50,1,0.9388235294117647,MDL,0.5714285714285714,0.38095238095238093
synchronous,20,100,5,0.949047619047619,MDL,0.3076923076923077,0.2
synchronous,50,100,5,0.9808,MDL,0.42857142857142855,0.2857142857142857
synchronous,20,100,5,0.949047619047619,BDE,0.3076923076923077,0.2
synchronous,80,100,1,0.97625,MDL,0.9090909090909091,0.5555555555555556
synchronous,5,20,5,0.81,MDL,0.0,0.0
synchronous,50,50,1,0.9388235294117647,BDE,0.5714285714285714,0.38095238095238093
synchronous,50,100,5,0.9808,BDE,0.3333333333333333,0.22727272727272727
synchronous,20,20,3,0.9571428571428572,MDL,0.3076923076923077,0.2
synchronous,20,20,3,0.9571428571428572,BDE,0.3076923076923077,0.2
synchronous,5,20,5,0.81,BDE,0.0,0.0
synchronous,80,100,1,0.97625,BDE,0.9090909090909091,0.5555555555555556
synchronous,50,50,1,0.962,MDL,0.9090909090909091,0.5555555555555556
synchronous,50,50,1,0.962,BDE,0.9090909090909091,0.5555555555555556
synchronous,5,50,5,0.808,MDL,0.23076923076923078,0.15
synchronous,20,20,1,0.905,MDL,0.9090909090909091,0.5555555555555556
synchronous,20,20,1,0.905,BDE,0.9090909090909091,0.5555555555555556
synchronous,5,50,5,0.808,BDE,0.0,0.0
synchronous,5,50,3,0.804,MDL,0.3076923076923077,0.2
synchronous,5,50,3,0.804,BDE,0.16666666666666666,0.10526315789473684
synchronous,20,100,3,0.9314285714285714,MDL,0.5384615384615384,0.35
synchronous,20,100,3,0.9314285714285714,BDE,0.5384615384615384,0.35
synchronous,5,20,3,0.8,MDL,0.25,0.15789473684210525
synchronous,5,20,3,0.8,BDE,0.2727272727272727,0.16666666666666666
synchronous,80,20,3,0.98875,MDL,0.3076923076923077,0.2
synchronous,80,20,3,0.98875,BDE,0.3076923076923077,0.2
synchronous,50,20,3,0.98,MDL,0.21428571428571427,0.14285714285714285
synchronous,50,20,3,0.98,BDE,0.2857142857142857,0.19047619047619047
synchronous,20,100,1,0.8571428571428571,MDL,0.6428571428571429,0.42857142857142855
synchronous,20,100,1,0.8571428571428571,BDE,0.6428571428571429,0.42857142857142855
synchronous,5,50,1,0.47,MDL,0.4666666666666667,0.3181818181818182
synchronous,5,50,1,0.47,BDE,0.4666666666666667,0.3181818181818182
synchronous,5,100,3,0.796,MDL,0.4666666666666667,0.3181818181818182
synchronous,5,100,3,0.796,BDE,0.23076923076923078,0.15
