v_Adenylate_cyclase,v_COMT,v_Calcineurin,v_Calcium,v_DARPP32,v_Dopamine,v_Dopamine_Receptor_1,v_Dopamine_Receptor_2,v_Exocytosis,v_Glutamate,v_Glutamate_Receptor,v_Packaging_Proteins,v_Phospholipase_C,v_Protein_Kinase_A,v_Protein_Phosphatase_1,v_Tryosine_hydroxylase,time,trajectory,isattractor
0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,1
1,1,0,0,0,0,1,0,0,0,1,1,1,1,0,1,0,1,0
0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,1,0
0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,1,1
0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,3,1,1
0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,4,1,1
1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,5,1,1
1,0,1,1,1,0,1,0,0,1,1,1,1,0,0,1,0,2,1
1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,2,1
1,1,1,1,0,0,1,0,0,1,0,1,0,1,1,1,2,2,1
1,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,3,2,1
0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,1,4,2,1
1,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,5,2,1
0,1,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,3,0
0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,1,3,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,3,1
0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3,3,1
0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,4,3,1
0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,5,3,1
0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,4,1
0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,4,1
1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,2,4,1
1,1,0,0,1,1,1,1,0,0,0,0,0,1,0,1,3,4,1
0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,1,4,4,1
0,1,1,1,0,1,1,1,0,0,0,0,1,0,0,1,5,4,1
0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,5,0
1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,5,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,5,1
0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3,5,1
0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,4,5,1
0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,5,5,1
0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,6,0
0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,6,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,6,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,6,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,6,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,6,1
1,0,1,0,0,1,0,0,0,1,1,0,1,0,1,1,0,7,1
1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,7,1
1,0,1,1,0,0,0,0,1,1,0,1,1,1,1,1,2,7,1
1,0,1,1,0,1,1,0,0,1,0,0,0,1,1,1,3,7,1
0,1,1,0,0,0,1,1,0,1,0,0,0,1,1,1,4,7,1
0,0,0,0,0,1,1,1,0,1,0,0,1,0,1,1,5,7,1
0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,1,0,8,1
0,1,1,1,0,1,1,1,0,1,1,0,1,0,1,1,1,8,1
0,0,1,1,0,0,1,0,0,1,0,1,1,0,1,1,2,8,1
1,0,1,0,0,0,1,0,1,1,0,0,0,0,1,1,3,8,1
1,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,4,8,1
0,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,5,8,1
1,1,1,0,1,1,1,1,0,0,1,0,1,0,0,1,0,9,0
1,1,1,1,0,1,1,1,0,0,0,0,1,1,1,1,1,9,1
0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,1,2,9,1
0,1,1,1,0,1,1,1,0,0,0,0,1,0,1,1,3,9,1
0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,4,9,1
0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,5,9,1
1,0,0,1,1,0,1,1,0,1,1,0,1,1,1,1,0,10,1
1,0,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,10,1
1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,2,10,1
0,1,1,1,0,0,0,0,1,1,0,1,1,0,0,1,3,10,1
0,0,1,1,0,1,1,0,0,1,0,0,1,0,0,1,4,10,1
1,0,1,0,0,1,1,0,0,1,0,0,0,1,1,1,5,10,1
0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,11,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,11,1
0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,2,11,1
0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,3,11,1
0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,4,11,1
0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,5,11,1
1,1,1,0,0,0,0,1,0,0,0,1,1,1,1,1,0,12,0
0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,1,1,12,0
0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,2,12,1
0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,3,12,1
0,1,1,0,0,1,0,1,0,0,0,0,1,0,1,1,4,12,1
0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,1,5,12,1
1,0,0,1,0,0,1,0,1,0,0,1,1,1,0,1,0,13,0
1,0,0,1,1,1,1,1,0,0,0,0,1,1,0,1,1,13,1
0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,1,2,13,1
0,0,1,1,0,1,0,1,0,0,0,0,1,0,1,1,3,13,1
0,1,1,1,0,1,0,1,0,0,0,0,1,0,1,1,4,13,1
0,1,1,1,0,1,1,1,0,0,0,0,1,0,1,1,5,13,1
0,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,0,14,0
0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,14,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,14,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,14,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,14,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,14,1
1,0,0,1,1,0,1,1,1,0,1,1,0,1,0,1,0,15,0
1,0,1,1,0,1,1,1,1,0,0,1,1,1,0,1,1,15,0
0,1,1,1,0,1,1,1,0,0,0,0,1,1,1,1,2,15,1
0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,3,15,1
0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,1,4,15,1
0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,5,15,1
1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,16,0
1,1,0,0,1,0,1,0,1,1,1,0,0,1,0,0,1,16,0
0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,2,16,0
0,0,1,1,0,0,0,0,1,1,1,1,0,1,1,0,3,16,0
0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,4,16,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,5,16,1
1,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,0,17,1
0,1,1,1,0,1,1,1,0,1,1,0,1,0,1,1,1,17,1
0,1,1,1,0,0,1,0,0,1,0,0,1,0,1,1,2,17,1
0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,3,17,1
0,1,0,0,0,1,1,1,0,1,0,0,1,0,1,1,4,17,1
0,0,1,1,0,0,0,1,0,1,0,0,1,0,1,1,5,17,1
0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,0,0,18,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,18,1
0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,18,1
0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3,18,1
0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,4,18,1
0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,5,18,1
0,1,1,1,0,0,0,0,1,0,0,1,1,1,0,1,0,19,0
0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,19,1
0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2,19,1
0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,3,19,1
0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,1,4,19,1
0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,5,19,1
