mode,steps,numtraj,freq,attper,score_type,jaccard_result,jaccard_weighted_result
synchronous,5,20,1,0.3,MDL,0.5789473684210527,0.4
synchronous,5,50,1,0.36,MDL,0.65,0.46153846153846156
synchronous,5,20,1,0.05,MDL,0.0,0.0
synchronous,5,20,1,0.3,BDE,0.5882352941176471,0.391304347826087
synchronous,5,20,1,0.05,BDE,0.0,0.0
synchronous,5,20,3,0.55,MDL,0.17647058823529413,0.13636363636363635
synchronous,5,20,3,0.55,BDE,0.11764705882352941,0.09090909090909091
synchronous,5,50,1,0.36,BDE,0.6,0.4230769230769231
synchronous,20,100,3,0.9245,MDL,0.09523809523809523,0.037037037037037035
synchronous,20,100,3,0.9245,BDE,0.09523809523809523,0.037037037037037035
synchronous,50,50,5,0.9631372549019608,MDL,0.21739130434782608,0.17857142857142858
synchronous,50,50,5,0.9631372549019608,BDE,0.20833333333333334,0.1724137931034483
synchronous,20,100,3,0.8495238095238096,MDL,0.25,0.17647058823529413
synchronous,20,100,3,0.8495238095238096,BDE,0.21428571428571427,0.14705882352941177
synchronous,80,20,1,0.95875,MDL,0.5294117647058824,0.34782608695652173
synchronous,80,20,1,0.95875,BDE,0.5294117647058824,0.34782608695652173
synchronous,50,100,1,0.8352941176470589,MDL,0.37037037037037035,0.23529411764705882
synchronous,80,50,3,0.9617283950617284,MDL,0.28,0.1935483870967742
synchronous,50,100,1,0.8352941176470589,BDE,0.4074074074074074,0.2647058823529412
synchronous,20,100,5,0.8980952380952381,MDL,0.16,0.13333333333333333
synchronous,80,50,3,0.9617283950617284,BDE,0.2962962962962963,0.21212121212121213
synchronous,20,100,5,0.8980952380952381,BDE,0.2,0.16666666666666666
synchronous,50,100,3,0.9696,MDL,0.09090909090909091,0.03571428571428571
synchronous,50,100,3,0.9696,BDE,0.09090909090909091,0.03571428571428571
synchronous,20,50,3,0.8657142857142858,MDL,0.2,0.12903225806451613
synchronous,20,50,3,0.8657142857142858,BDE,0.2,0.12903225806451613
synchronous,5,100,3,0.69,MDL,0.06896551724137931,0.02857142857142857
synchronous,5,100,3,0.69,BDE,0.07407407407407407,0.030303030303030304
synchronous,80,50,5,0.9735802469135802,MDL,0.07407407407407407,0.0625
